chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
戈,gē,Bộ Qua — giáo mác,,,,4 nét
戶,hù,Bộ Hộ — cửa một cánh,,,,4 nét
手,shǒu,Bộ Thủ — tay,,,,4 nét
支,zhī,Bộ Chi — cành; chống,,,,4 nét
攴,pū,Bộ Phộc — đánh khẽ,,,,4 nét
文,wén,"Bộ Văn — chữ, văn",,,,4 nét
斗,dǒu,Bộ Đẩu — cái đấu,,,,4 nét
斤,jīn,Bộ Cân — cái rìu,,,,4 nét
方,fāng,"Bộ Phương — vuông, hướng",,,,4 nét
无,wú,Bộ Vô — không,,,,4 nét
日,rì,"Bộ Nhật — mặt trời, ngày",,,,4 nét
曰,yuē,Bộ Viết — nói rằng,,,,4 nét
月,yuè,Bộ Nguyệt — mặt trăng,,,,4 nét
木,mù,"Bộ Mộc — cây, gỗ",,,,4 nét
欠,qiàn,Bộ Khiếm — thiếu; ngáp,,,,4 nét
止,zhǐ,Bộ Chỉ — dừng,,,,4 nét
歹,dǎi,Bộ Đãi — xương tàn; xấu,,,,4 nét
殳,shū,Bộ Thù — binh khí,,,,4 nét
毋,wú,"Bộ Vô — chớ, đừng",,,,4 nét
比,bǐ,Bộ Tỉ — so sánh,,,,4 nét
毛,máo,Bộ Mao — lông,,,,4 nét
氏,shì,Bộ Thị — họ,,,,4 nét
气,qì,"Bộ Khí — hơi, không khí",,,,4 nét
水,shuǐ,Bộ Thủy — nước,,,,4 nét
火,huǒ,Bộ Hỏa — lửa,,,,4 nét
爪,zhǎo,Bộ Trảo — móng vuốt,,,,4 nét
父,fù,Bộ Phụ — cha,,,,4 nét
爻,yáo,Bộ Hào — hào (quẻ),,,,4 nét
爿,qiáng,Bộ Tường — mảnh gỗ,,,,4 nét
片,piàn,"Bộ Phiến — mảnh, tấm",,,,4 nét
牙,yá,Bộ Nha — răng,,,,4 nét
牛,niú,"Bộ Ngưu — trâu, bò",,,,4 nét
犬,quǎn,Bộ Khuyển — chó,,,,4 nét
玄,xuán,Bộ Huyền — đen huyền,,,,5–6 nét
玉,yù,Bộ Ngọc — ngọc,,,,5–6 nét
瓜,guā,Bộ Qua — quả dưa,,,,5–6 nét
瓦,wǎ,Bộ Ngõa — ngói,,,,5–6 nét
甘,gān,Bộ Cam — ngọt,,,,5–6 nét
生,shēng,Bộ Sinh — sinh ra,,,,5–6 nét
用,yòng,Bộ Dụng — dùng,,,,5–6 nét
田,tián,Bộ Điền — ruộng,,,,5–6 nét
疋,pǐ,Bộ Thất — xấp vải; chân,,,,5–6 nét
疒,nè,Bộ Nạch — bệnh tật,,,,5–6 nét
癶,bō,Bộ Bát — chân dạng ra,,,,5–6 nét
白,bái,Bộ Bạch — trắng,,,,5–6 nét
皮,pí,Bộ Bì — da,,,,5–6 nét
皿,mǐn,Bộ Mãnh — bát đĩa,,,,5–6 nét
目,mù,Bộ Mục — mắt,,,,5–6 nét
矛,máo,Bộ Mâu — cái giáo,,,,5–6 nét
矢,shǐ,Bộ Thỉ — mũi tên,,,,5–6 nét
石,shí,Bộ Thạch — đá,,,,5–6 nét
示,shì,Bộ Thị — chỉ bảo; thần,,,,5–6 nét
禸,róu,Bộ Nhựu — vết chân thú,,,,5–6 nét
禾,hé,Bộ Hòa — lúa,,,,5–6 nét
穴,xué,"Bộ Huyệt — hang, lỗ",,,,5–6 nét
立,lì,Bộ Lập — đứng,,,,5–6 nét
竹,zhú,Bộ Trúc — tre,,,,5–6 nét
米,mǐ,Bộ Mễ — gạo,,,,5–6 nét
糸,mì,Bộ Mịch — sợi tơ,,,,5–6 nét
缶,fǒu,Bộ Phẫu — vò sành,,,,5–6 nét
网,wǎng,Bộ Võng — lưới,,,,5–6 nét
羊,yáng,"Bộ Dương — dê, cừu",,,,5–6 nét
羽,yǔ,Bộ Vũ — lông vũ,,,,5–6 nét
老,lǎo,Bộ Lão — già,,,,5–6 nét
而,ér,"Bộ Nhi — mà, và",,,,5–6 nét
耒,lěi,Bộ Lỗi — cái cày,,,,5–6 nét
耳,ěr,Bộ Nhĩ — tai,,,,5–6 nét
聿,yù,Bộ Duật — cây bút,,,,5–6 nét
肉,ròu,Bộ Nhục — thịt,,,,5–6 nét
臣,chén,Bộ Thần — bề tôi,,,,5–6 nét
自,zì,Bộ Tự — tự; mũi,,,,5–6 nét
至,zhì,Bộ Chí — đến,,,,5–6 nét
臼,jiù,Bộ Cữu — cái cối,,,,5–6 nét
舌,shé,Bộ Thiệt — lưỡi,,,,5–6 nét
舛,chuǎn,Bộ Suyễn — trái ngược,,,,5–6 nét
舟,zhōu,Bộ Chu — thuyền,,,,5–6 nét
艮,gèn,Bộ Cấn — quẻ Cấn; bền,,,,5–6 nét
色,sè,Bộ Sắc — màu sắc,,,,5–6 nét
艸,cǎo,Bộ Thảo — cỏ,,,,5–6 nét
虍,hū,Bộ Hô — vằn hổ,,,,5–6 nét
虫,chóng,Bộ Trùng — sâu bọ,,,,5–6 nét
血,xuè,Bộ Huyết — máu,,,,5–6 nét
行,xíng,Bộ Hành — đi; làm,,,,5–6 nét
衣,yī,Bộ Y — áo,,,,5–6 nét
襾,yà,Bộ Á — che đậy,,,,5–6 nét
見,jiàn,"Bộ Kiến — thấy, nhìn",,,,7–9 nét
角,jiǎo,Bộ Giác — sừng,,,,7–9 nét
言,yán,Bộ Ngôn — lời nói,,,,7–9 nét
谷,gǔ,Bộ Cốc — thung lũng,,,,7–9 nét
豆,dòu,Bộ Đậu — hạt đậu,,,,7–9 nét
豕,shǐ,Bộ Thỉ — con lợn,,,,7–9 nét
豸,zhì,Bộ Trĩ — thú không chân,,,,7–9 nét
貝,bèi,Bộ Bối — vỏ sò (tiền của),,,,7–9 nét
赤,chì,Bộ Xích — đỏ,,,,7–9 nét
走,zǒu,"Bộ Tẩu — đi, chạy",,,,7–9 nét
足,zú,Bộ Túc — chân,,,,7–9 nét
身,shēn,Bộ Thân — thân thể,,,,7–9 nét
車,chē,Bộ Xa — xe,,,,7–9 nét
辛,xīn,Bộ Tân — cay,,,,7–9 nét
辰,chén,Bộ Thần — chi Thìn; sớm,,,,7–9 nét
辵,chuò,Bộ Sước — chợt bước đi,,,,7–9 nét
邑,yì,"Bộ Ấp — làng, ấp",,,,7–9 nét
酉,yǒu,Bộ Dậu — chi Dậu; rượu,,,,7–9 nét
釆,biàn,Bộ Biện — phân biệt,,,,7–9 nét
里,lǐ,Bộ Lý — làng; dặm,,,,7–9 nét
金,jīn,"Bộ Kim — vàng, kim loại",,,,7–9 nét
長,cháng,Bộ Trường — dài,,,,7–9 nét
門,mén,Bộ Môn — cửa,,,,7–9 nét
阜,fù,Bộ Phụ — gò đất,,,,7–9 nét
隶,lì,Bộ Lệ — nô lệ; theo,,,,7–9 nét
隹,zhuī,Bộ Chuy — chim đuôi ngắn,,,,7–9 nét
雨,yǔ,Bộ Vũ — mưa,,,,7–9 nét
靑,qīng,Bộ Thanh — xanh,,,,7–9 nét
非,fēi,Bộ Phi — không phải,,,,7–9 nét
面,miàn,Bộ Diện — mặt,,,,7–9 nét
革,gé,Bộ Cách — da thuộc; đổi,,,,7–9 nét
韋,wéi,Bộ Vi — da mềm,,,,7–9 nét
韭,jiǔ,Bộ Cửu — hẹ,,,,7–9 nét
音,yīn,Bộ Âm — âm thanh,,,,7–9 nét
頁,yè,Bộ Hiệt — trang; đầu,,,,7–9 nét
風,fēng,Bộ Phong — gió,,,,7–9 nét
飛,fēi,Bộ Phi — bay,,,,7–9 nét
食,shí,Bộ Thực — ăn,,,,7–9 nét
首,shǒu,Bộ Thủ — đầu,,,,7–9 nét
香,xiāng,Bộ Hương — thơm,,,,7–9 nét
馬,mǎ,Bộ Mã — ngựa,,,,10–17 nét
骨,gǔ,Bộ Cốt — xương,,,,10–17 nét
高,gāo,Bộ Cao — cao,,,,10–17 nét
髟,biāo,Bộ Tiêu — tóc dài,,,,10–17 nét
鬥,dòu,Bộ Đấu — đánh nhau,,,,10–17 nét
鬯,chàng,Bộ Sưởng — rượu nếp,,,,10–17 nét
鬲,lì,Bộ Cách — cái đỉnh,,,,10–17 nét
鬼,guǐ,Bộ Quỷ — ma quỷ,,,,10–17 nét
魚,yú,Bộ Ngư — cá,,,,10–17 nét
鳥,niǎo,Bộ Điểu — chim,,,,10–17 nét
鹵,lǔ,Bộ Lỗ — đất mặn,,,,10–17 nét
鹿,lù,"Bộ Lộc — hươu, nai",,,,10–17 nét
麥,mài,Bộ Mạch — lúa mì,,,,10–17 nét
麻,má,Bộ Ma — cây gai,,,,10–17 nét
黃,huáng,Bộ Hoàng — vàng,,,,10–17 nét
黍,shǔ,Bộ Thử — lúa nếp,,,,10–17 nét
黑,hēi,Bộ Hắc — đen,,,,10–17 nét
黹,zhǐ,Bộ Chỉ — may vá,,,,10–17 nét
黽,mǐn,Bộ Mãnh — con ếch,,,,10–17 nét
鼎,dǐng,Bộ Đỉnh — cái vạc,,,,10–17 nét
鼓,gǔ,Bộ Cổ — cái trống,,,,10–17 nét
鼠,shǔ,Bộ Thử — con chuột,,,,10–17 nét
鼻,bí,Bộ Tị — mũi,,,,10–17 nét
齊,qí,Bộ Tề — ngang bằng,,,,10–17 nét
齒,chǐ,Bộ Xỉ — răng,,,,10–17 nét
龍,lóng,Bộ Long — rồng,,,,10–17 nét
龜,guī,Bộ Quy — rùa,,,,10–17 nét
龠,yuè,Bộ Dược — ống sáo,,,,10–17 nét
