chuHan,pinyin,nghia,viDu,viDuPinyin,viDuNghia,chuDe
高兴,gāoxìng,vui,我很高兴。,wǒ hěn gāo xìng 。,Tôi rất vui.,Tính từ & Trạng thái
个,gè,cái (đơn vị lượng từ),我有一个钱包。,wǒ yǒu yí gè qián bāo 。,Tôi có một cái ví.,Số đếm & Lượng từ
工作,gōngzuò,công việc,我的工作很忙。,wǒ de gōng zuò hěn máng 。,Công việc của tôi rất bận.,Học tập & Công việc
狗,gǒu,chó,这只狗很可爱。,zhè zhǐ gǒu hěn kě ài 。,Con chó này rất dễ thương.,Gia đình & Con người
汉语,Hànyǔ,tiếng Hán,我在学汉语。,wǒ zài xué hàn yǔ 。,Tôi đang học tiếng Hán.,Đồ vật & Mua sắm
好,hǎo,"tốt, khỏe",他很好。,tā hěn hǎo 。,Anh ấy rất tốt.,Tính từ & Trạng thái
喝,hē,uống,我喝水。,wǒ hē shuǐ 。,Tôi uống nước.,Đồ ăn & Thức uống
和,hé,và,我和你一起去。,wǒ hé nǐ yì qǐ qù 。,Tôi đi cùng bạn.,Ngữ pháp & Liên từ
很,hěn,rất,这个苹果很甜。,zhè ge píng guǒ hěn tián 。,Quả táo này rất ngọt.,Ngữ pháp & Liên từ
后面,hòumiàn,phía sau,我家在后面。,wǒ jiā zài hòu miàn 。,Nhà tôi ở phía sau.,Địa điểm & Giao thông
回,huí,"quay lại, về",我回家了。,wǒ huí jiā le 。,Tôi về nhà rồi.,Động từ thường dùng
会,huì,"sẽ, biết (kỹ năng)",我会说汉语。,wǒ huì shuō hàn yǔ 。,Tôi biết nói tiếng Hán.,Động từ thường dùng
火车站,huǒchēzhàn,ga tàu,火车站在前面。,huǒ chē zhàn zài qián miàn 。,Ga tàu ở phía trước.,Địa điểm & Giao thông
几,jǐ,mấy,你有几个苹果？,nǐ yǒu jǐ gè píng guǒ ？,Bạn có mấy quả táo?,Số đếm & Lượng từ
家,jiā,"gia đình, nhà",我家有四口人。,wǒ jiā yǒu sì kǒu rén 。,Nhà tôi có bốn người.,Địa điểm & Giao thông
叫,jiào,"gọi, tên gọi",她叫李娜。,tā jiào lǐ nà 。,Cô ấy tên là Lý Na.,Chào hỏi & Lễ phép
今天,jīntiān,hôm nay,今天是星期一。,jīn tiān shì xīng qī yī 。,Hôm nay là thứ Hai.,Thời gian
九,jiǔ,chín,我有九本书。,wǒ yǒu jiǔ běn shū 。,Tôi có chín cuốn sách.,Số đếm & Lượng từ
开,kāi,"mở, khởi động",我们开车去。,wǒ men kāi chē qù 。,Chúng tôi lái xe đi.,Động từ thường dùng
看,kàn,xem,我喜欢看电影。,wǒ xǐ huān kàn diàn yǐng 。,Tôi thích xem phim.,Động từ thường dùng
看见,kànjiàn,nhìn thấy,我看见你了。,wǒ kàn jiàn nǐ le 。,Tôi nhìn thấy bạn rồi.,Động từ thường dùng
块,kuài,"miếng, đồng (tiền)",这个苹果两块钱。,zhè ge píng guǒ liǎng kuài qián 。,Quả táo này hai đồng.,Số đếm & Lượng từ
来,lái,đến,明天我来。,míng tiān wǒ lái 。,Ngày mai tôi đến.,Động từ thường dùng
老师,lǎoshī,giáo viên,我的老师很友好。,wǒ de lǎo shī hěn yǒu hǎo 。,Thầy giáo của tôi rất thân thiện.,Gia đình & Con người
了,le,đã (dùng để chỉ sự thay đổi),她去了学校。,tā qù le xué xiào 。,Cô ấy đã đến trường.,Ngữ pháp & Liên từ
冷,lěng,lạnh,外面很冷。,wài miàn hěn lěng 。,Bên ngoài rất lạnh.,Thời tiết & Sức khỏe
里,lǐ,trong,我的书在里面。,wǒ de shū zài lǐ miàn 。,Sách của tôi ở bên trong.,Địa điểm & Giao thông
零,líng,không (số 0),今天零度。,jīn tiān líng dù 。,Hôm nay không độ.,Số đếm & Lượng từ
六,liù,sáu,我有六个苹果。,wǒ yǒu liù gè píng guǒ 。,Tôi có sáu quả táo.,Số đếm & Lượng từ
妈妈,māma,mẹ,我的妈妈很漂亮。,wǒ de mā mā hěn piào liàng 。,Mẹ tôi rất đẹp.,Gia đình & Con người
吗,ma,không (dùng trong câu hỏi),你好吗？,nǐ hǎo ma ？,Bạn khỏe không?,Đại từ & Câu hỏi
买,mǎi,mua,我买了水果。,wǒ mǎi le shuǐ guǒ 。,Tôi đã mua trái cây.,Động từ thường dùng
猫,māo,mèo,这只猫很可爱。,zhè zhǐ māo hěn kě ài 。,Con mèo này rất dễ thương.,Gia đình & Con người
没,méi,"không có, chưa",我没看见他。,wǒ méi kàn jiàn tā 。,Tôi không nhìn thấy anh ấy.,Ngữ pháp & Liên từ
没关系,méi guānxi,"không sao, không có gì",下雨了，没关系，我们有伞。,xià yǔ le ， méi guān xì ， wǒ men yǒu sǎn 。,"Trời mưa rồi, không sao, chúng ta có ô.",Chào hỏi & Lễ phép
米饭,mǐfàn,cơm,我们吃米饭。,wǒ men chī mǐ fàn 。,Chúng tôi ăn cơm.,Đồ ăn & Thức uống
明天,míngtiān,ngày mai,明天见。,míng tiān jiàn 。,Hẹn gặp lại ngày mai.,Thời gian
名字,míngzi,tên,你叫什么名字？,nǐ jiào shén me míng zì ？,Bạn tên là gì?,Chào hỏi & Lễ phép
哪里 (哪儿),nǎlǐ (nǎr),"đâu, chỗ nào",你要去哪儿？,nǐ yào qù nǎ ér ？,Bạn muốn đi đâu?,Đại từ & Câu hỏi
那,nà,"đó, kia",那个书包很漂亮。,nà ge shū bāo hěn piào liàng 。,Cái cặp sách đó rất đẹp.,Địa điểm & Giao thông
呢,ne,thì sao? (dùng để hỏi thêm),你呢？,nǐ ne ？,Còn bạn thì sao?,Đại từ & Câu hỏi
能,néng,có thể,他能说三种语言。,tā néng shuō sān zhǒng yǔ yán 。,Anh ấy có thể nói ba thứ tiếng.,Động từ thường dùng
你,nǐ,bạn,你叫什么名字？,nǐ jiào shén me míng zì ？,Bạn tên là gì?,Đại từ & Câu hỏi
年,nián,năm,我结婚三年了。,wǒ jié hūn sān nián le 。,Tôi kết hôn được ba năm rồi.,Thời gian
女儿,nǚ'ér,con gái,她是我的女儿。,tā shì wǒ de nǚ ér 。,Cô bé là con gái tôi.,Gia đình & Con người
朋友,péngyou,bạn,她的朋友很聪明。,tā de péng yǒu hěn cōng míng 。,Bạn của cô ấy rất thông minh.,Gia đình & Con người
漂亮,piàoliang,đẹp,她很漂亮。,tā hěn piào liàng 。,Cô ấy rất đẹp.,Tính từ & Trạng thái
苹果,píngguǒ,táo,这个苹果很好吃。,zhè ge píng guǒ hěn hǎo chī 。,Quả táo này rất ngon.,Đồ ăn & Thức uống
七,qī,bảy,我有七个朋友。,wǒ yǒu qī gè péng yǒu 。,Tôi có bảy người bạn.,Số đếm & Lượng từ
钱,qián,tiền,这本书多少钱？,zhè běn shū duō shǎo qián ？,Cuốn sách này bao nhiêu tiền?,Đồ vật & Mua sắm
前面,qiánmiàn,phía trước,火车站在前面。,huǒ chē zhàn zài qián miàn 。,Ga tàu ở phía trước.,Địa điểm & Giao thông
请,qǐng,"xin vui lòng, mời",请给我菜单。,qǐng gěi wǒ cài dān 。,Làm ơn cho tôi thực đơn.,Chào hỏi & Lễ phép
去,qù,đi,我们要去商店。,wǒ men yào qù shāng diàn 。,Chúng tôi muốn đến cửa hàng.,Động từ thường dùng
热,rè,nóng,天气很热。,tiān qì hěn rè 。,Thời tiết rất nóng.,Thời tiết & Sức khỏe
人,rén,người,这个人很友好。,zhè ge rén hěn yǒu hǎo 。,Người này rất thân thiện.,Gia đình & Con người
认识,rènshi,quen biết,我认识他。,wǒ rèn shí tā 。,Tôi quen anh ấy.,Chào hỏi & Lễ phép
日,rì,ngày,今天是几月几日？,jīn tiān shì jǐ yuè jǐ rì ？,Hôm nay là ngày mấy tháng mấy?,Thời gian
三,sān,ba,我有三本书。,wǒ yǒu sān běn shū 。,Tôi có ba cuốn sách.,Số đếm & Lượng từ
商店,shāngdiàn,cửa hàng,这个商店很大。,zhè ge shāng diàn hěn dà 。,Cửa hàng này rất lớn.,Địa điểm & Giao thông
上,shàng,lên,他在上楼。,tā zài shàng lóu 。,Anh ấy đang lên lầu.,Địa điểm & Giao thông
上午,shàngwǔ,buổi sáng,上午我们去学校。,shàng wǔ wǒ men qù xué xiào 。,Buổi sáng chúng tôi đến trường.,Thời gian
少,shǎo,ít,我们还少一个人。,wǒ men hái shǎo yí gè rén 。,Chúng tôi còn thiếu một người.,Tính từ & Trạng thái
谁,shuí/ shéi,ai,谁是你的老师？,shuí shì nǐ de lǎo shī ？,Ai là thầy giáo của bạn?,Đại từ & Câu hỏi
什么,shénme,cái gì,你想吃什么？,nǐ xiǎng chī shén me ？,Bạn muốn ăn gì?,Đại từ & Câu hỏi
十,shí,mười,我有十块钱。,wǒ yǒu shí kuài qián 。,Tôi có mười đồng.,Số đếm & Lượng từ
时候,shíhòu,"lúc, khi",你什么时候来？,nǐ shén me shí hòu lái ？,Khi nào bạn đến?,Thời gian
是,shì,"là, thì",这是一本好书。,zhè shì yī běn hǎo shū 。,Đây là một cuốn sách hay.,Động từ thường dùng
书,shū,sách,这本书很有意思。,zhè běn shū hěn yǒu yì si 。,Cuốn sách này rất thú vị.,Đồ vật & Mua sắm
水,shuǐ,nước,我喝水。,wǒ hē shuǐ 。,Tôi uống nước.,Đồ ăn & Thức uống
水果,shuǐguǒ,trái cây,她喜欢吃水果。,tā xǐ huān chī shuǐ guǒ 。,Cô ấy thích ăn trái cây.,Đồ ăn & Thức uống
睡觉,shuìjiào,ngủ,他每天晚上十点睡觉。,tā měi tiān wǎn shàng shí diǎn shuì jiào 。,Anh ấy ngủ lúc mười giờ tối mỗi ngày.,Động từ thường dùng
说话,shuōhuà,nói chuyện,你怎么不说话？,nǐ zěn me bù shuō huà ？,Sao bạn không nói gì?,Động từ thường dùng
四,sì,bốn,他们四个人去旅行。,tā men sì gè rén qù lǚ xíng 。,Bốn người họ đi du lịch.,Số đếm & Lượng từ
岁,suì,tuổi,我今年二十五岁。,wǒ jīn nián èr shí wǔ suì 。,Năm nay tôi hai mươi lăm tuổi.,Số đếm & Lượng từ
他,tā,"anh ấy, ông ấy",他是我的朋友。,tā shì wǒ de péng yǒu 。,Anh ấy là bạn tôi.,Đại từ & Câu hỏi
她,tā,"cô ấy, bà ấy",她在家里。,tā zài jiā lǐ 。,Cô ấy ở nhà.,Đại từ & Câu hỏi
太,tài,quá,今天太热了。,jīn tiān tài rè le 。,Hôm nay nóng quá.,Tính từ & Trạng thái
天气,tiānqì,thời tiết,今天天气很好。,jīn tiān tiān qì hěn hǎo 。,Thời tiết hôm nay rất đẹp.,Thời tiết & Sức khỏe
听,tīng,nghe,我喜欢听音乐。,wǒ xǐ huān tīng yīn yuè 。,Tôi thích nghe nhạc.,Động từ thường dùng
同学,tóngxué,bạn học,我们是同学。,wǒ men shì tóng xué 。,Chúng tôi là bạn cùng lớp.,Gia đình & Con người
喂,wèi,alo,喂，你好吗？,wèi ， nǐ hǎo ma ？,"A lô, bạn khỏe không?",Chào hỏi & Lễ phép
我,wǒ,tôi,我想喝水。,wǒ xiǎng hē shuǐ 。,Tôi muốn uống nước.,Đại từ & Câu hỏi
我们,wǒmen,chúng tôi,我们一起去吧。,wǒ men yì qǐ qù ba 。,Chúng ta cùng đi nhé.,Đại từ & Câu hỏi
五,wǔ,năm,他有五本书。,tā yǒu wǔ běn shū 。,Anh ấy có năm cuốn sách.,Số đếm & Lượng từ
喜欢,xǐhuān,thích,我喜欢喝咖啡。,wǒ xǐ huān hē kā fēi 。,Tôi thích uống cà phê.,Động từ thường dùng
下,xià,xuống,我在下楼。,wǒ zài xià lóu 。,Tôi đang xuống lầu.,Địa điểm & Giao thông
下午,xiàwǔ,buổi chiều,下午我们去逛街。,xià wǔ wǒ men qù guàng jiē 。,Buổi chiều chúng tôi đi dạo phố.,Thời gian
下雨,xià yǔ,mưa,外面下雨了，记得带伞。,wài miàn xià yǔ le ， jì de dài sǎn 。,"Bên ngoài mưa rồi, nhớ mang ô.",Thời tiết & Sức khỏe
先生,xiānshēng,"ông, ngài",先生，这边请。,xiān shēng ， zhè biān qǐng 。,"Thưa ông, mời đi lối này.",Chào hỏi & Lễ phép
现在,xiànzài,bây giờ,我现在很累。,wǒ xiàn zài hěn lèi 。,Bây giờ tôi rất mệt.,Thời gian
想,xiǎng,"nghĩ, muốn",我想去看电影。,wǒ xiǎng qù kàn diàn yǐng 。,Tôi muốn đi xem phim.,Động từ thường dùng
小,xiǎo,nhỏ,这是一只小狗。,zhè shì yī zhī xiǎo gǒu 。,Đây là một chú chó nhỏ.,Tính từ & Trạng thái
小姐,xiǎojiě,cô (trong cách gọi),小姐，请问这里有洗手间吗？,xiǎo jiě ， qǐng wèn zhè lǐ yǒu xǐ shǒu jiān ma ？,"Thưa cô, xin hỏi ở đây có nhà vệ sinh không?",Chào hỏi & Lễ phép
些,xiē,vài,我们买了一些水果。,wǒ men mǎi le yī xiē shuǐ guǒ 。,Chúng tôi đã mua một ít trái cây.,Số đếm & Lượng từ
写,xiě,viết,我正在写信。,wǒ zhèng zài xiě xìn 。,Tôi đang viết thư.,Động từ thường dùng
谢谢,xièxiè,cảm ơn,谢谢你的帮助。,xiè xiè nǐ de bāng zhù 。,Cảm ơn sự giúp đỡ của bạn.,Chào hỏi & Lễ phép
星期,xīngqī,tuần,一个星期就好。,yí gè xīng qī jiù hǎo 。,Một tuần là được.,Thời gian
学生,xuéshēng,học sinh,他是一个好学生。,tā shì yí gè hào xué shēng 。,Cậu ấy là một học sinh tốt.,Gia đình & Con người
学习,xuéxí,học tập,学习中文很有趣。,xué xí zhōng wén hěn yǒu qù 。,Học tiếng Trung rất thú vị.,Học tập & Công việc
学校,xuéxiào,trường học,我在学校学习中文。,wǒ zài xué xiào xué xí zhōng wén 。,Tôi học tiếng Trung ở trường.,Địa điểm & Giao thông
一,yī,một,一个人在公园散步。,yí gè rén zài gōng yuán sàn bù 。,Một người đang đi dạo trong công viên.,Số đếm & Lượng từ
衣服,yīfu,quần áo,这件衣服很漂亮。,zhè jiàn yī fú hěn piào liàng 。,Bộ quần áo này rất đẹp.,Đồ vật & Mua sắm
医生,yīshēng,bác sĩ,他是一位医生。,tā shì yī wèi yī shēng 。,Ông ấy là một bác sĩ.,Gia đình & Con người
医院,yīyuàn,bệnh viện,我们去医院看病。,wǒ men qù yī yuàn kàn bìng 。,Chúng tôi đến bệnh viện khám bệnh.,Địa điểm & Giao thông
椅子,yǐzi,ghế,请坐在椅子上。,qǐng zuò zài yǐ zi shàng 。,Mời ngồi lên ghế.,Đồ vật & Mua sắm
月,yuè,"tháng, mặt trăng",这个月我很忙。,zhè ge yuè wǒ hěn máng 。,Tháng này tôi rất bận.,Thời gian
在,zài,"ở, tại",他在学校学习。,tā zài xué xiào xué xí 。,Anh ấy học ở trường.,Động từ thường dùng
再见,zàijiàn,tạm biệt,我们明天再见。,wǒ men míng tiān zài jiàn 。,Hẹn gặp lại ngày mai.,Chào hỏi & Lễ phép
怎么,zěnme,làm sao,你怎么了？,nǐ zěn me le ？,Bạn làm sao vậy?,Đại từ & Câu hỏi
怎么样,zěnmeyàng,như thế nào,你的工作怎么样？,nǐ de gōng zuò zěn me yàng ？,Công việc của bạn thế nào?,Đại từ & Câu hỏi
这,zhè,"Đây, này",这件事怎么样？,zhè jiàn shì zěn me yàng ？,Việc này thế nào?,Địa điểm & Giao thông
中国,Zhōngguó,Trung Quốc,中国有很多美丽的风景。,zhōng guó yǒu hěn duō měi lì de fēng jǐng 。,Trung Quốc có rất nhiều phong cảnh đẹp.,Địa điểm & Giao thông
中午,zhōngwǔ,buổi trưa,中午我们去吃饭吧。,zhōng wǔ wǒ men qù chī fàn ba 。,Buổi trưa chúng ta đi ăn cơm nhé.,Thời gian
住,zhù,"sống, cư trú",我住在一个很安静的地方。,wǒ zhù zài yí gè hěn ān jìng de dì fāng 。,Tôi sống ở một nơi rất yên tĩnh.,Động từ thường dùng
桌子,zhuōzi,bàn,桌子上放着一本书。,zhuō zi shàng fàng zhe yī běn shū 。,Trên bàn có đặt một cuốn sách.,Đồ vật & Mua sắm
字,zì,chữ,我们要学会写字。,wǒ men yào xué huì xiě zì 。,Chúng tôi phải học viết chữ.,Đồ vật & Mua sắm
昨天,zuótiān,hôm qua,昨天我去看了一部电影。,zuó tiān wǒ qù kàn le yī bù diàn yǐng 。,Hôm qua tôi đã đi xem một bộ phim.,Thời gian
坐,zuò,ngồi,我们在公园里坐了一会儿。,wǒ men zài gōng yuán lǐ zuò le yī huì er 。,Chúng tôi ngồi trong công viên một lúc.,Động từ thường dùng
做,zuò,làm,他正在做作业。,tā zhèng zài zuò zuò yè 。,Anh ấy đang làm bài tập.,Động từ thường dùng
